title,img,level,rating_num,inq
肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1,9.7,希望让人自由。
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,2,9.6,风华绝代。
阿甘正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg,3,9.5,一部美国近现代史。
这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,4,9.4,怪蜀黍和小萝莉不得不说的故事。
美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,5,9.5,最美的谎言。
泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,6,9.4,失去的才是永恒的。 
千与千寻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,7,9.3,最好的宫崎骏，最好的久石让。 
辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,8,9.5,拯救一个人，就是拯救整个世界。
盗梦空间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9,9.3,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,10,9.3,永远都不能忘记你所爱的人。
机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,11,9.3,小瓦力，大人生。
三傻大闹宝莱坞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,12,9.2,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,13,9.3,天籁一般的童声，是最接近上帝的存在。 
楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,14,9.2,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,15,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,16,9.3,爱是一种力量，让我们超越时空感知它的存在。
大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,17,9.2,一生所爱。
龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,18,9.2,人人心中都有个龙猫，童年就永远不会消失。
熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,19,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,20,9.2,香港电影史上永不过时的杰作。
教父,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,21,9.3,千万不要记恨你的对手，这样会让你失去理智。
疯狂动物城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,22,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
当幸福来敲门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,23,9.1,平民励志片。 
怦然心动,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,24,9.0,真正的幸福是来自内心深处。
触不可及,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,25,9.2,满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,26,9.2,无尽的黑暗。
活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,27,9.2,张艺谋最好的电影。
乱世佳人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,28,9.3,Tomorrow is another day.
控方证人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,29,9.6,比利·怀德满分作品。
少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,30,9.0,瑰丽壮观、无人能及的冒险之旅。
摔跤吧！爸爸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,31,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
指环王3：王者无敌,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,32,9.2,史诗的终章。
鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,33,9.2,对敌人的仁慈，就是对自己残忍。
飞屋环游记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,34,9.0,最后那些最无聊的事情，才是最值得怀念的。 
十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,35,9.4,1957年的理想主义。 
天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,36,9.1,对天空的追逐，永不停止。 
天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,37,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,38,9.0,旷古烁今。
哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,39,9.0,带着心爱的人在天空飞翔。
寻梦环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,40,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。
末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,41,9.2,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
罗马假日,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,42,9.0,爱情哪怕只有一天。
搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,43,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,44,9.0,史上最美的探戈。
素媛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,45,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,46,9.2,电影的现实意义大过电影本身。
窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,47,9.1,别样人生。
死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p502437344.jpg,48,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,49,9.1,凝视卑弱生命，用电影改变命运。
两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,50,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,51,9.0,承前启后的史诗篇章。
飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,52,9.1,自由万岁。
教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,53,9.2,优雅的孤独。
狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,54,9.0,动物版《哈姆雷特》。
指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,55,9.0,传说的开始。
V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,56,8.9,一张面具背后的理想与革命。
美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,57,9.0,爱是一切逻辑和原由。
饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,58,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,59,9.3,经典之作，历久弥新。
哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,60,8.9,童话世界的开端。
海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,61,9.3,海豚的微笑，是世界上最高明的伪装。
钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,62,9.1,音乐能化解仇恨。
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,63,8.9,在时间之河里感受溺水之苦。
情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,64,8.9,暗恋的极致。
黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,65,8.9,视觉革命。
看不见的客人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,66,8.8,你以为你以为的就是你以为的。
让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,67,8.8,你给我翻译翻译，神马叫做TMD的惊喜。
西西里的美丽传说,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,68,8.8,美丽无罪。
小鞋子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,69,9.2,奔跑的孩子是天使。
拯救大兵瑞恩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,70,9.0,美利坚精神输出大片No1.
猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,71,8.9,骗子大师和执著警探的你追我跑故事。 
美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,72,9.2,往事如烟，无处祭奠。
