区域,名称,景点id,类型,级别,热度,地址,特色,经纬度,月销量
江西·萍乡·芦溪县,武功山,943865565,自然风光,5A景区,热度 1.0,江西省萍乡市芦溪县,,"114.162743,27.471336",17625
广东·清远·清新区,古龙峡古龙九瀑,1294497225,自然风光,4A景区,热度 0.0,广东省清远市清新区三坑滩,,"112.95541,23.77049",12867
四川·乐山·峨眉山市,峨眉山,69638736,自然风光,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区,,"103.342036,29.522835",10577
安徽·芜湖·南陵县,马仁奇峰,3821817759,自然风光,4A景区,热度 0.76,安徽省芜湖市繁昌铜陵南陵三县交界处,,"118.174791,30.978893",10446
重庆·重庆·武隆县,武隆天坑地缝国家地质公园,669575040,自然风光,5A景区,热度 0.0,重庆市武隆县银杏大道武隆喀斯特旅游区,,"107.773314,29.423324",10374
甘肃·张掖·临泽县,张掖七彩丹霞旅游景区,1780470082,自然风光,4A景区,热度 0.0,甘肃省张掖市临泽县倪家营南台子村,,"100.042244,38.970483",10139
广东·清远·清城区,黄腾峡天门悬廊,106063323,自然风光,,热度 0.0,广东省清远市清城区东城街石板村,,"113.10067,23.768007",9143
陕西·渭南·华阴市,华山景区,3677297610,自然风光,5A景区,热度 1.0,陕西省渭南市华阴市境内,,"110.088712,34.532247",8757
四川·成都·都江堰市,青城山,2833668773,自然风光,5A景区,热度 0.96,四川省成都市都江堰市青城山路,,"103.578829,30.903727",8178
安徽·黄山·黄山区,黄山风景区,3346106506,自然风光,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区,,"118.193977,30.097967",7564
北京·北京·平谷区,京东石林峡,3164178740,自然风光,4A景区,热度 0.7,北京市平谷区黄松峪乡雕窝村73号,,"117.254089,40.266748",7512
湖南·张家界·天子山,天子山索道,1342103118,自然风光,,热度 0.0,张家界市武陵源景区天子山,,"110.517175,29.381874",7339
海南·三亚·崖州区,南山文化旅游区,3982940253,自然风光,5A景区,热度 0.76,海南省三亚市崖城镇南山村,,"109.208867,18.296388",7235
江西·宜春·袁州区,明月山,736564328,自然风光,5A景区,热度 1.0,江西省宜春市袁州区温汤镇,,"114.299102,27.60543",7142
